blockchain,address,name,distinct_name
arbitrum,0x1111111254eeb25477b68fb85ed929f73a960582,1inch,AggregationRouterV5
arbitrum,0x11111112542d85b3ef69ae05771c2dccff4faa26,1inch,AggregationRouterV3
arbitrum,0x1111111254fb6c44bac0bed2854e76f90643097d,1inch,AggregationRouterV4
arbitrum,0x0cae51e1032e8461f4806e26332c030e34de3adb,AnySwap,AnyswapV3Router
arbitrum,0x6947a425453d04305520e612f0cb2952e4d07d62,Arbswap,ArbswapSmartRouter
arbitrum,0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer,Vault
arbitrum,0xc873fecbd354f5a56e00e710b90ef4201db2448d,Camelot,CamelotRouter
arbitrum,0xe708aa9e887980750c040a6a2cb901c37aa34f3b,Chronos,Router
arbitrum,0xee9dec2712cce65174b561151701bf54b99c24c8,Connext,ConnextDiamond
arbitrum,0x3b6067d4caa8a14c63fdbe6318f27a0bbc9f9237,DODO,DODORouteProxy
arbitrum,0xe05dd51e4eb5636f4f0e8e7fbe82ea31a2ecef16,DODO,DODOFeeRouteProxy
arbitrum,0xa27c20a7cf0e1c68c0460706bb674f98f362bc21,GMX,OrderBookReader
arbitrum,0x3d6ba331e3d9702c5e8a8d254e5d8a285f223aba,GMX,PositionRouter
arbitrum,0xabbc5f99639c9b6bcb58544ddf04efa6802f4064,GMX,Router
arbitrum,0x6131b5fae19ea4f9d964eac0408e4408b66337b5,Kyber,MetaAggregationRouterV2
arbitrum,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LiFi,LiFiDiamond_v2
arbitrum,0x86d4ef07492605d30124e25b1e08e3c489d39807,Lighter,Router
arbitrum,0xdd94018f54e565dbfc939f7c44a16e163faab331,Odos,OdosRouter
arbitrum,0x8cfe327cec66d1c090dd72bd0ff11d690c33a2eb,PancakeSwap,Router v2
arbitrum,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,Paraswap,AugustusSwapper
arbitrum,0xaaa87963efeb6f7e0a2711f397663105acb1805e,Ramses,Router
arbitrum,0x5543550d65813c1fa76242227cbba0a28a297771,Slingshot Finance,Aggregator
arbitrum,0xe8c97bf6d084880de38aec1a56d97ed9fdfa0c9b,Slingshot Finance,Swap
arbitrum,0xc30141b657f4216252dc59af2e7cdb9d8792e1b0,Socket,Registry
arbitrum,0xf26515d5482e2c2fd237149bf6a653da4794b3d0,Solidlizard,router
arbitrum,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,SushiSwap,UniswapV2Router02
arbitrum,0x1342a24347532de79372283b3a29c63c31dd7711,Swaprum,SwaprumV2Router02
arbitrum,0x7bfd7192e76d950832c77bb412aae841049d8d9b,Trader Joe,V2 Router
arbitrum,0xbee5c10cf6e4f68f831e11c1d9e59b43560b3642,Trader Joe,V1 Router
arbitrum,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,Trader Joe,LBRouter
arbitrum,0xb45a2dda996c32e93b8c47098e90ed0e7ab18e39,TransitSwap,TransitSwapRouterV4
arbitrum,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Uniswap,SwapRouter02
arbitrum,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,Uniswap,UniversalRouter
arbitrum,0xbbee07b3e8121227afcfe1e2b82772246226128e,Vertex,TransparentUpgradableProxy
arbitrum,0x777777773fdd8b28bb03377d10fcea75ad9768da,Via router,ViaRouter
arbitrum,0xc4b2f992496376c6127e73f1211450322e580668,Wombat,Router
arbitrum,0xca10e8825fa9f1db0651cd48a9097997dbf7615d,WooFi,CrosswapRouterV3.1
arbitrum,0xdef1c0ded9bec7f1a1670819833240f027b25eff,ZeroEx,ExchangeProxy
arbitrum,0x16e71b13fe6079b4312063f7e81f76d165ad32ad,Zyberswap,Router
base,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x,Exchange Proxy Flash Wallet
base,0x11111112542d85b3ef69ae05771c2dccff4faa26,1inch,AggregationRouterV4
base,0x1111111254eeb25477b68fb85ed929f73a960582,1inch,AggregationRouterV5
base,0xf9cfb8a62f50e10adde5aa888b44cf01c5957055,Aerodrome,SmartRouter
base,0xb556ee2761f5d2887b8f35a7dda367abd20503bf,Aerodrome,AeroVault
base,0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,Aerodrome,SwapRouter
base,0x708845b2a00dea5d7b0dacf4a84faa51d358e4b2,Aerodrome,SmartRouter
base,0x1b8eea9315be495187d873da7773a874545d9d48,BaseSwap,SwapRouter
base,0xf8b959870634e1bb1926f8790e5ec3592d44a82a,DackieSwap,Router
base,0x32aed3bce901da12ca8489788f3a99fce1056e14,Maverick,Router
base,0x19ceead7105607cd444f5ad10dd51356436095a1,Odos,Router
base,0x678aa4bf4e210cf2166753e054d5b7c31cc7fa86,PancakeSwap,SmartRouter
base,0xb0e66ff71869815f2c2e14af9e039882cf0795ef,PancakeSwap,SmartRouter
base,0x00000000009726632680fb29d3f7a9734e3010e2,Rainbow,Aggregator of Aggregators
base,0x3a23f943181408eac424116af7b7790c94cb97a5,Socket,Aggregator of Aggregators
base,0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4,Uniswap,UniversalRouter
base,0x198ef79f1f515f02dfe9e3115ed9fc07183f02fc,Uniswap,UniversalRouter
base,0x2626664c2603336e57b271c5c0b26f421741e481,Uniswap,SwapRouter02
base,0xdef1c0ded9bec7f1a1670819833240f027b25eff,ZeroEx,ExchangeProxy
bnb,0x1111111254eeb25477b68fb85ed929f73a960582,1inch,AggregationRouterV5
bnb,0x1111111254fb6c44bac0bed2854e76f90643097d,1inch,AggregationRouterV4
bnb,0x11111112542d85b3ef69ae05771c2dccff4faa26,1inch,AggregationRouterV3
bnb,0x111111254bf8547e7183e4bbfc36199f3cedf4a1,1inch,AggregationRouterV2
bnb,0xf9736ec3926703e85c843fc972bd89a7f8e827c0,AnySwap,AnyswapV3Router
bnb,0xe1d592c3322f1f714ca11f05b6bc0efef1907859,AnySwap,AnyswapV6Router
bnb,0xcf0febd3f17cef5b47b0cd257acf6025c5bff3b7,ApeSwap,
bnb,0xc9a0f685f39d05d835c369036251ee3aeaaf3c47,BabyDoge,Router
bnb,0x8317c460c22a9958c27b4b6403b98d2ef4e2ad32,BabySwap,
bnb,0x3a6d8ca21d1cf76f653a67577fa0d27453350dd8,BiSwap,
bnb,0x6f5ac65ca70f2a44d73c8f711cb2bdf425d9f304,BitKeep,
bnb,0xb099ed146fad4d0daa31e3810591fc0554af62bb,Bogged Finance,
bnb,0xbf1fc29668e5f5eaa819948599c9ac1b1e03e75f,Cone,ConeRouter01
bnb,0xa8b034301bb5dd3610db585def3e7c0d52f2319f,DODO,DODOFeeRouteProxy
bnb,0x0656fd85364d03b103ceeda192fb2d3906a6ac15,DODO,DODOFeeRouteProxy
bnb,0x6b3d817814eabc984d51896b1015c0b89e9737ca,DODO,DODORouteProxy
bnb,0x92e4f29be975c1b1eb72e77de24dccf11432a5bd,Firebird,FireBirdRouter
bnb,0x1b6c9c20693afde803b27f8782156c0f892abc2d,FstSwap,FstswapRouter02
bnb,0xb3ca4d73b1e0ea2c53b42173388cc01e1c226f40,FstSwap,
bnb,0xbd3bd95529e0784ad973fd14928eedf3678cfad8,Izumi,Swap
bnb,0x6131b5fae19ea4f9d964eac0408e4408b66337b5,Kyber,MetaAggregationRouterV2
bnb,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,LiFi,LiFiDiamond_v2
bnb,0xd53a9f3fae2bd46d35e9a30ba58112a585542869,Maverick,Router
bnb,0x7dae51bd3e3376b8c7c4900e9107f12be3af1ba8,Mdex,MdexRouter
bnb,0x62c1a0d92b09d0912f7bb9c96c5ecdc7f2b87059,Mdex,MdexRouter
bnb,0x1a1ec25dc08e98e5e93f1104b5e5cdd298707d31,MetaMask,
bnb,0x26e6c47682ffc1824d7ac5512752fc671da5e607,Morphex,Router
bnb,0xd654953d746f0b114d1f85332dc43446ac79413d,NomiSwap,
bnb,0x6352a56caadc4f1e25cd6c75970fa768a3304e64,OpenOcean,openocean_v2
bnb,0x05ff2b0db69458a0750badebc4f9e13add608c7f,PancakeSwap,PancakeRouter
bnb,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,PancakeSwap,SmartRouter
bnb,0xd4c4a7c55c9f7b3c48bafb6e8643ba79f42418df,PancakeSwap,PancakeZapV1
bnb,0x2f22e47ca7c5e07f77785f616ceee80c5e84127c,PancakeSwap,PancakeSwapSmartRouter
bnb,0x10ed43c718714eb63d5aa57b78b54704e256024e,PancakeSwap,pancakeswap_v2
bnb,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,Paraswap,
bnb,0x37da632c6436137bd4d0ca30c98d3c615974120b,SafeMoon,
bnb,0x224b239b8bb896f125bd77eb334e302a318d9e33,Slingshot Finance,Swap
